-24.0 -36.0 -60.0 -78.0 -78.0 -53.0 -48.0 -31.0 -27.0 -18.0 -63.0 -76.0 -43.0 -26.0 -33.0 -29.0 -25.0 -24.0 -21.0 -21.0 -25.0 -27.0 -25.0 -32.0 -33.0 -40.0 -94.0 -38.0 -26.0 -14.0 -70.0 -37.0 -43.0 -53.0 -66.0 -46.0 -35.0 -58.0 -41.0 -39.0 -30.0 -30.0 -6.0 0.0 -6.0 -21.0 -26.0 -7.0 16.0 16.0 31.0 22.0 12.0 2.0 2.0 -9.0 -28.0 -22.0 -29.0 -32.0 -26.0 1.0 -10.0 -15.0 -36.0 -36.0 -41.0 -43.0 -37.0 -29.0 -27.0 -15.0 16.0 -6.0 -13.0 -22.0 -4.0 -9.0 -13.0 -14.0 -8.0 
-38.0 -27.0 -35.0 -59.0 -77.0 -79.0 -59.0 -43.0 -25.0 -24.0 -19.0 -68.0 -78.0 -48.0 -39.0 -30.0 -28.0 -24.0 -23.0 -22.0 -25.0 -24.0 -24.0 -30.0 -34.0 -32.0 -82.0 -62.0 -32.0 -13.0 -54.0 -48.0 -41.0 -45.0 -69.0 -46.0 -35.0 -51.0 -46.0 -37.0 -29.0 -41.0 -25.0 0.0 15.0 -14.0 -31.0 -41.0 -18.0 5.0 18.0 37.0 36.0 28.0 5.0 -13.0 -27.0 -21.0 -29.0 -30.0 -26.0 -21.0 -17.0 -27.0 -37.0 -43.0 -44.0 -39.0 -34.0 -28.0 -25.0 -22.0 -18.0 -15.0 -25.0 -19.0 -4.0 5.0 2.0 -9.0 -16.0 
-34.0 -38.0 -33.0 -31.0 -54.0 -80.0 -81.0 -61.0 -41.0 -24.0 -23.0 -22.0 -71.0 -76.0 -54.0 -33.0 -30.0 -26.0 -23.0 -22.0 -23.0 -22.0 -26.0 -25.0 -33.0 -32.0 -48.0 -90.0 -35.0 -17.0 -26.0 -66.0 -40.0 -44.0 -67.0 -46.0 -34.0 -45.0 -51.0 -40.0 -32.0 -49.0 -48.0 -12.0 8.0 -17.0 -28.0 -42.0 -36.0 -36.0 -17.0 6.0 15.0 23.0 11.0 -6.0 -25.0 -29.0 -32.0 -32.0 -28.0 -39.0 -42.0 -42.0 -41.0 -43.0 -43.0 -37.0 -31.0 -27.0 -22.0 -19.0 -26.0 -29.0 -31.0 -30.0 -17.0 9.0 11.0 -7.0 -18.0 
-41.0 -31.0 -38.0 -34.0 -26.0 -51.0 -79.0 -84.0 -69.0 -39.0 -24.0 -23.0 -25.0 -85.0 -71.0 -46.0 -32.0 -30.0 -24.0 -23.0 -23.0 -28.0 -26.0 -26.0 -32.0 -33.0 -33.0 -92.0 -39.0 -22.0 -17.0 -71.0 -44.0 -47.0 -48.0 -45.0 -33.0 -38.0 -56.0 -37.0 -36.0 -46.0 -45.0 -33.0 -28.0 -26.0 -33.0 -42.0 -41.0 -42.0 -36.0 -42.0 -16.0 -4.0 3.0 -14.0 -17.0 -27.0 -31.0 -27.0 -35.0 -36.0 -42.0 -46.0 -37.0 -44.0 -39.0 -33.0 -28.0 -24.0 -18.0 -24.0 -28.0 -33.0 -31.0 -34.0 -32.0 -23.0 -20.0 -19.0 -23.0 
-49.0 -39.0 -32.0 -39.0 -35.0 -21.0 -48.0 -79.0 -85.0 -70.0 -28.0 -21.0 -19.0 -38.0 -88.0 -63.0 -41.0 -34.0 -27.0 -25.0 -23.0 -23.0 -24.0 -24.0 -28.0 -36.0 -32.0 -60.0 -79.0 -30.0 -15.0 -58.0 -44.0 -47.0 -47.0 -56.0 -31.0 -31.0 -60.0 -33.0 -36.0 -47.0 -43.0 -32.0 -26.0 -35.0 -33.0 -43.0 -43.0 -41.0 -38.0 -39.0 -38.0 -38.0 -40.0 -25.0 -20.0 -33.0 -30.0 -30.0 -36.0 -42.0 -44.0 -40.0 -46.0 -43.0 -35.0 -25.0 -23.0 -17.0 -23.0 -26.0 -34.0 -31.0 -33.0 -34.0 -27.0 -30.0 -32.0 -35.0 -34.0 
-54.0 -56.0 -40.0 -34.0 -41.0 -36.0 -20.0 -45.0 -79.0 -85.0 -69.0 -27.0 -31.0 -12.0 -50.0 -97.0 -64.0 -33.0 -28.0 -25.0 -24.0 -23.0 -24.0 -23.0 -27.0 -31.0 -35.0 -34.0 -90.0 -31.0 -17.0 -26.0 -66.0 -46.0 -43.0 -68.0 -31.0 -30.0 -65.0 -36.0 -40.0 -44.0 -41.0 -29.0 -23.0 -34.0 -30.0 -50.0 -43.0 -38.0 -39.0 -38.0 -38.0 -41.0 -48.0 -45.0 -38.0 -30.0 -28.0 -32.0 -41.0 -40.0 -39.0 -42.0 -44.0 -36.0 -28.0 -21.0 -17.0 -19.0 -27.0 -33.0 -32.0 -34.0 -32.0 -28.0 -28.0 -33.0 -35.0 -33.0 -36.0 
-45.0 -85.0 -62.0 -43.0 -37.0 -41.0 -36.0 -18.0 -40.0 -79.0 -82.0 -66.0 -53.0 -31.0 -5.0 -71.0 -101.0 -53.0 -34.0 -30.0 -27.0 -21.0 -21.0 -20.0 -27.0 -24.0 -38.0 -32.0 -73.0 -56.0 -27.0 -17.0 -78.0 -44.0 -45.0 -70.0 -35.0 -31.0 -54.0 -35.0 -38.0 -43.0 -42.0 -31.0 -23.0 -33.0 -33.0 -49.0 -45.0 -43.0 -42.0 -35.0 -39.0 -46.0 -50.0 -46.0 -35.0 -30.0 -32.0 -38.0 -35.0 -39.0 -42.0 -46.0 -38.0 -34.0 -20.0 -19.0 -20.0 -27.0 -33.0 -31.0 -33.0 -31.0 -25.0 -31.0 -33.0 -32.0 -34.0 -36.0 -36.0 
-48.0 -65.0 -86.0 -66.0 -46.0 -40.0 -37.0 -35.0 -16.0 -33.0 -79.0 -85.0 -69.0 -58.0 -19.0 -20.0 -82.0 -91.0 -42.0 -33.0 -27.0 -25.0 -22.0 -21.0 -26.0 -27.0 -33.0 -32.0 -31.0 -90.0 -31.0 -18.0 -63.0 -44.0 -48.0 -48.0 -39.0 -32.0 -47.0 -41.0 -41.0 -39.0 -40.0 -32.0 -24.0 -32.0 -29.0 -50.0 -43.0 -46.0 -41.0 -30.0 -43.0 -42.0 -51.0 -35.0 -31.0 -31.0 -33.0 -39.0 -37.0 -39.0 -42.0 -41.0 -33.0 -24.0 -18.0 -21.0 -28.0 -31.0 -31.0 -31.0 -32.0 -25.0 -31.0 -32.0 -34.0 -32.0 -35.0 -37.0 -32.0 
-24.0 -24.0 -58.0 -75.0 -77.0 -48.0 -42.0 -36.0 -36.0 -17.0 -31.0 -79.0 -89.0 -67.0 -45.0 -22.0 -27.0 -91.0 -74.0 -39.0 -31.0 -25.0 -24.0 -21.0 -23.0 -25.0 -26.0 -35.0 -31.0 -81.0 -35.0 -18.0 -26.0 -64.0 -49.0 -36.0 -45.0 -35.0 -37.0 -55.0 -39.0 -37.0 -38.0 -31.0 -22.0 -32.0 -32.0 -50.0 -48.0 -41.0 -34.0 -34.0 -45.0 -45.0 -46.0 -33.0 -31.0 -32.0 -33.0 -35.0 -43.0 -45.0 -46.0 -37.0 -27.0 -18.0 -21.0 -24.0 -29.0 -31.0 -29.0 -30.0 -26.0 -30.0 -32.0 -34.0 -33.0 -34.0 -34.0 -32.0 -30.0 
-25.0 -23.0 -27.0 -51.0 -64.0 -87.0 -58.0 -43.0 -36.0 -37.0 -1.0 -15.0 -72.0 -94.0 -72.0 -45.0 -22.0 -32.0 -96.0 -66.0 -34.0 -30.0 -25.0 -21.0 -20.0 -26.0 -27.0 -31.0 -33.0 -36.0 -83.0 -25.0 -17.0 -85.0 -49.0 -32.0 -58.0 -29.0 -24.0 -62.0 -35.0 -35.0 -35.0 -28.0 -24.0 -36.0 -34.0 -46.0 -51.0 -38.0 -31.0 -42.0 -46.0 -48.0 -36.0 -34.0 -32.0 -29.0 -40.0 -39.0 -42.0 -40.0 -38.0 -25.0 -19.0 -21.0 -22.0 -28.0 -30.0 -29.0 -28.0 -29.0 -30.0 -31.0 -30.0 -33.0 -35.0 -36.0 -31.0 -32.0 -30.0 
-38.0 -16.0 -26.0 -28.0 -24.0 -56.0 -91.0 -66.0 -41.0 -35.0 -37.0 -20.0 -3.0 -64.0 -96.0 -70.0 -44.0 -24.0 -39.0 -107.0 -51.0 -35.0 -24.0 -20.0 -19.0 -23.0 -27.0 -27.0 -32.0 -27.0 -86.0 -36.0 -15.0 -69.0 -53.0 -30.0 -66.0 -26.0 -25.0 -63.0 -37.0 -34.0 -34.0 -25.0 -30.0 -39.0 -32.0 -49.0 -48.0 -37.0 -33.0 -45.0 -44.0 -42.0 -34.0 -31.0 -30.0 -30.0 -38.0 -42.0 -45.0 -39.0 -30.0 -23.0 -19.0 -23.0 -22.0 -31.0 -29.0 -30.0 -30.0 -32.0 -33.0 -28.0 -29.0 -33.0 -32.0 -32.0 -32.0 -26.0 -23.0 
-57.0 -45.0 -5.0 -24.0 -26.0 -28.0 -57.0 -78.0 -71.0 -48.0 -42.0 -39.0 -33.0 -22.0 -78.0 -99.0 -74.0 -38.0 -23.0 -53.0 -103.0 -43.0 -32.0 -25.0 -21.0 -21.0 -25.0 -29.0 -32.0 -29.0 -44.0 -54.0 -15.0 -27.0 -60.0 -37.0 -53.0 -31.0 -29.0 -70.0 -36.0 -33.0 -38.0 -25.0 -32.0 -39.0 -37.0 -56.0 -41.0 -33.0 -32.0 -42.0 -41.0 -45.0 -34.0 -30.0 -25.0 -37.0 -41.0 -46.0 -38.0 -30.0 -25.0 -21.0 -23.0 -18.0 -27.0 -28.0 -32.0 -31.0 -32.0 -32.0 -27.0 -27.0 -33.0 -32.0 -31.0 -32.0 -26.0 -22.0 -19.0 
-76.0 -56.0 -53.0 -36.0 -20.0 -25.0 -26.0 -37.0 -70.0 -81.0 -57.0 -43.0 -43.0 -33.0 -31.0 -92.0 -111.0 -74.0 -29.0 -26.0 -72.0 -91.0 -38.0 -30.0 -21.0 -18.0 -23.0 -28.0 -26.0 -33.0 -24.0 -87.0 -21.0 -6.0 -83.0 -44.0 -18.0 -34.0 -29.0 -66.0 -40.0 -30.0 -43.0 -25.0 -28.0 -31.0 -35.0 -49.0 -38.0 -36.0 -38.0 -45.0 -42.0 -39.0 -32.0 -24.0 -33.0 -39.0 -44.0 -39.0 -34.0 -31.0 -24.0 -24.0 -19.0 -24.0 -30.0 -29.0 -32.0 -33.0 -31.0 -27.0 -26.0 -33.0 -35.0 -30.0 -29.0 -26.0 -21.0 -17.0 -14.0 
-82.0 -89.0 -68.0 -59.0 -52.0 -36.0 -34.0 -32.0 -28.0 -62.0 -89.0 -69.0 -45.0 -45.0 -33.0 -28.0 -90.0 -117.0 -74.0 -28.0 -24.0 -93.0 -78.0 -36.0 -23.0 -23.0 -21.0 -24.0 -23.0 -35.0 -31.0 -44.0 -6.0 11.0 -68.0 -29.0 4.0 -44.0 -26.0 -58.0 -41.0 -28.0 -38.0 -30.0 -32.0 -43.0 -35.0 -47.0 -37.0 -37.0 -36.0 -41.0 -48.0 -38.0 -27.0 -24.0 -39.0 -42.0 -40.0 -33.0 -34.0 -27.0 -22.0 -19.0 -21.0 -28.0 -30.0 -33.0 -32.0 -28.0 -24.0 -25.0 -31.0 -33.0 -31.0 -28.0 -23.0 -17.0 -16.0 -12.0 -17.0 
-42.0 -62.0 -81.0 -92.0 -62.0 -56.0 -49.0 -37.0 -30.0 -29.0 -42.0 -74.0 -75.0 -50.0 -46.0 -33.0 -25.0 -89.0 -119.0 -69.0 -27.0 -22.0 -95.0 -46.0 -31.0 -23.0 -19.0 -26.0 0.0 -25.0 -34.0 2.0 -86.0 27.0 -5.0 -12.0 31.0 -53.0 6.0 -21.0 -31.0 -7.0 -35.0 -30.0 -32.0 -37.0 -32.0 -50.0 -38.0 -29.0 -38.0 -45.0 -45.0 -27.0 -23.0 -36.0 -42.0 -35.0 -35.0 -35.0 -26.0 -23.0 -19.0 -19.0 -25.0 -30.0 -33.0 -32.0 -25.0 -26.0 -27.0 -32.0 -33.0 -27.0 -28.0 -21.0 -16.0 -15.0 -15.0 -18.0 -23.0 
-28.0 -26.0 -40.0 -68.0 -86.0 -85.0 -58.0 -55.0 -42.0 -32.0 -32.0 -22.0 -62.0 -86.0 -59.0 -49.0 -31.0 -20.0 -86.0 -127.0 -63.0 -28.0 -23.0 -97.0 -13.0 -4.0 -24.0 -18.0 13.0 -33.0 -33.0 -20.0 -85.0 -5.0 -12.0 -78.0 17.0 -31.0 25.0 10.0 -5.0 16.0 -31.0 -30.0 -30.0 -31.0 -43.0 -53.0 -38.0 -27.0 -50.0 -40.0 -37.0 -28.0 -31.0 -35.0 -35.0 -35.0 -34.0 -29.0 -24.0 -16.0 -19.0 -24.0 -30.0 -34.0 -31.0 -27.0 -27.0 -28.0 -34.0 -36.0 -28.0 -24.0 -21.0 -14.0 -15.0 -16.0 -21.0 -23.0 -25.0 
-39.0 -33.0 -29.0 -25.0 -40.0 -71.0 -85.0 -80.0 -58.0 -51.0 -37.0 -35.0 -27.0 -51.0 -91.0 -72.0 -52.0 -33.0 -20.0 -83.0 -123.0 -47.0 -5.0 22.0 -123.0 -7.0 -31.0 -17.0 -19.0 -29.0 -17.0 -26.0 -58.0 -99.0 -53.0 -49.0 -60.0 -8.0 -9.0 6.0 -31.0 26.0 -16.0 -10.0 -3.0 -32.0 -57.0 -43.0 -30.0 -29.0 -51.0 -31.0 -29.0 -28.0 -33.0 -38.0 -36.0 -36.0 -33.0 -23.0 -14.0 -17.0 -20.0 -29.0 -30.0 -30.0 -24.0 -27.0 -29.0 -34.0 -32.0 -27.0 -23.0 -17.0 -15.0 -14.0 -17.0 -23.0 -24.0 -28.0 -27.0 
-41.0 -44.0 -41.0 -29.0 -26.0 -24.0 -43.0 -84.0 -89.0 -72.0 -56.0 -42.0 -35.0 -31.0 -24.0 -72.0 -88.0 -56.0 -35.0 -19.0 -68.0 -133.0 -19.0 17.0 -43.0 -95.0 -64.0 -22.0 -12.0 -47.0 -6.0 -8.0 9.0 -84.0 -100.0 -95.0 -112.0 -64.0 -70.0 -47.0 -34.0 12.0 -8.0 61.0 30.0 -22.0 -51.0 -36.0 -33.0 -44.0 -33.0 -36.0 -29.0 -29.0 -29.0 -32.0 -38.0 -32.0 -24.0 -20.0 -18.0 -19.0 -27.0 -31.0 -30.0 -28.0 -27.0 -30.0 -33.0 -31.0 -22.0 -21.0 -17.0 -16.0 -19.0 -19.0 -22.0 -26.0 -27.0 -25.0 -20.0 
-54.0 -48.0 -44.0 -48.0 -42.0 -28.0 -27.0 -21.0 -45.0 -82.0 -90.0 -64.0 -57.0 -39.0 -34.0 -19.0 -56.0 -96.0 -50.0 -25.0 5.0 -14.0 -145.0 -25.0 -15.0 -78.0 -84.0 -20.0 15.0 -2.0 -103.0 -12.0 20.0 -49.0 -85.0 -97.0 -124.0 -123.0 -131.0 -123.0 -78.0 -85.0 -62.0 20.0 35.0 45.0 -26.0 -38.0 -36.0 -41.0 -34.0 -43.0 -26.0 -25.0 -33.0 -39.0 -33.0 -24.0 -20.0 -18.0 -19.0 -24.0 -30.0 -29.0 -28.0 -26.0 -26.0 -31.0 -28.0 -21.0 -19.0 -17.0 -17.0 -16.0 -20.0 -23.0 -26.0 -27.0 -24.0 -20.0 -19.0 
-76.0 -73.0 -62.0 -58.0 -46.0 -49.0 -38.0 -26.0 -26.0 -20.0 -51.0 -83.0 -85.0 -61.0 -45.0 -43.0 -19.0 -14.0 -63.0 -70.0 -13.0 34.0 -48.0 -147.0 -45.0 -53.0 -92.0 -109.0 13.0 22.0 1.0 -67.0 -9.0 -31.0 -113.0 -120.0 -127.0 -127.0 -131.0 -136.0 -136.0 -140.0 -143.0 -82.0 -41.0 53.0 21.0 -34.0 -28.0 -40.0 -38.0 -33.0 -19.0 -30.0 -37.0 -35.0 -21.0 -22.0 -21.0 -18.0 -17.0 -24.0 -30.0 -29.0 -27.0 -27.0 -27.0 -24.0 -17.0 -21.0 -17.0 -18.0 -17.0 -21.0 -24.0 -26.0 -25.0 -19.0 -21.0 -21.0 -22.0 
-52.0 -62.0 -73.0 -77.0 -69.0 -68.0 -49.0 -45.0 -35.0 -28.0 -29.0 -24.0 -52.0 -80.0 -90.0 -64.0 -48.0 2.0 27.0 -35.0 -120.0 -14.0 -7.0 -72.0 -152.0 -92.0 -85.0 -93.0 -72.0 -49.0 -14.0 -120.0 -58.0 -50.0 -107.0 -123.0 -124.0 -129.0 -134.0 -134.0 -139.0 -143.0 -141.0 -137.0 -135.0 -21.0 -20.0 45.0 6.0 -44.0 -28.0 -23.0 -27.0 -34.0 -35.0 -26.0 -20.0 -24.0 -17.0 -16.0 -22.0 -32.0 -32.0 -26.0 -23.0 -20.0 -22.0 -19.0 -22.0 -19.0 -18.0 -18.0 -20.0 -23.0 -24.0 -20.0 -19.0 -21.0 -23.0 -19.0 -18.0 
-34.0 -29.0 -31.0 -47.0 -60.0 -75.0 -79.0 -76.0 -52.0 -38.0 -35.0 -31.0 -26.0 -26.0 -49.0 -76.0 -67.0 -30.0 -21.0 -7.0 -45.0 -149.0 -45.0 -58.0 -82.0 -142.0 -158.0 -138.0 -126.0 -114.0 -68.0 -30.0 -102.0 -43.0 -6.0 -117.0 -118.0 -128.0 -133.0 -135.0 -142.0 -141.0 -138.0 -136.0 -132.0 -128.0 -53.0 44.0 23.0 -21.0 -32.0 -24.0 -34.0 -32.0 -29.0 -18.0 -24.0 -16.0 -15.0 -20.0 -36.0 -33.0 -26.0 -20.0 -18.0 -22.0 -22.0 -24.0 -18.0 -18.0 -18.0 -23.0 -22.0 -23.0 -22.0 -21.0 -24.0 -22.0 -18.0 -19.0 -20.0 
-34.0 -30.0 -39.0 -31.0 -26.0 -20.0 -43.0 -61.0 -82.0 -94.0 -61.0 -34.0 -38.0 -33.0 -25.0 -9.0 -14.0 -23.0 -108.0 -37.0 -38.0 -51.0 -149.0 -96.0 -95.0 -94.0 -114.0 -180.0 -198.0 -195.0 -62.0 -11.0 -102.0 -17.0 11.0 -102.0 -119.0 -129.0 -131.0 -139.0 -143.0 -139.0 -136.0 -133.0 -129.0 -125.0 -122.0 -55.0 11.0 5.0 -27.0 -30.0 -24.0 -29.0 -30.0 -22.0 -19.0 -16.0 -21.0 -36.0 -30.0 -23.0 -14.0 -18.0 -23.0 -25.0 -25.0 -19.0 -18.0 -14.0 -19.0 -22.0 -23.0 -20.0 -23.0 -25.0 -18.0 -19.0 -20.0 -21.0 -23.0 
-44.0 -44.0 -42.0 -33.0 -34.0 -34.0 -24.0 -20.0 -20.0 -43.0 -78.0 -100.0 -73.0 -44.0 -41.0 -5.0 -11.0 8.0 -47.0 -155.0 -82.0 -66.0 -74.0 -100.0 -159.0 -159.0 -136.0 -164.0 -198.0 -194.0 -189.0 -35.0 -23.0 -108.0 3.0 -16.0 -112.0 -128.0 -134.0 -143.0 -140.0 -136.0 -133.0 -129.0 -126.0 -122.0 -119.0 -96.0 -60.0 -2.0 42.0 -9.0 -32.0 -36.0 -13.0 -20.0 -17.0 -20.0 -31.0 -30.0 -16.0 -13.0 -15.0 -25.0 -28.0 -26.0 -18.0 -14.0 -13.0 -20.0 -22.0 -24.0 -23.0 -23.0 -20.0 -20.0 -21.0 -22.0 -22.0 -25.0 -27.0 
-58.0 -59.0 -55.0 -53.0 -48.0 -46.0 -37.0 -27.0 -29.0 -24.0 -20.0 -19.0 -57.0 -84.0 -61.0 -11.0 -30.0 -39.0 -32.0 -33.0 -134.0 -169.0 -99.0 -89.0 -90.0 -150.0 -198.0 -198.0 -198.0 -194.0 -187.0 -159.0 -56.0 -64.0 -28.0 -15.0 -86.0 -126.0 -140.0 -141.0 -137.0 -134.0 -129.0 -126.0 -122.0 -119.0 -116.0 -92.0 -78.0 12.0 39.0 10.0 -38.0 -15.0 -16.0 -26.0 -22.0 -20.0 -27.0 -14.0 -14.0 -14.0 -25.0 -31.0 -23.0 -15.0 -12.0 -16.0 -20.0 -23.0 -24.0 -24.0 -23.0 -20.0 -21.0 -21.0 -23.0 -23.0 -28.0 -30.0 -32.0 
-100.0 -99.0 -80.0 -63.0 -60.0 -62.0 -60.0 -59.0 -50.0 -35.0 -24.0 -30.0 -30.0 -20.0 -15.0 -2.0 -64.0 -111.0 -91.0 -64.0 -63.0 -64.0 -136.0 -189.0 -144.0 -150.0 -198.0 -198.0 -198.0 -192.0 -186.0 -181.0 -161.0 -85.0 -58.0 -62.0 -48.0 -113.0 -143.0 -138.0 -134.0 -130.0 -126.0 -122.0 -119.0 -114.0 -111.0 -87.0 -69.0 -70.0 -48.0 6.0 14.0 -12.0 -36.0 -20.0 -17.0 -19.0 -16.0 -16.0 -17.0 -26.0 -27.0 -19.0 -14.0 -12.0 -18.0 -21.0 -26.0 -24.0 -22.0 -25.0 -22.0 -21.0 -22.0 -24.0 -28.0 -31.0 -32.0 -32.0 -27.0 
-80.0 -84.0 -89.0 -91.0 -95.0 -95.0 -97.0 -87.0 -61.0 -74.0 -69.0 -47.0 -29.0 -24.0 3.0 -13.0 -12.0 -14.0 -74.0 -180.0 -105.0 -80.0 -87.0 -115.0 -192.0 -198.0 -198.0 -198.0 -197.0 -191.0 -185.0 -178.0 -172.0 -166.0 -96.0 -153.0 -77.0 -142.0 -139.0 -135.0 -131.0 -127.0 -122.0 -119.0 -114.0 -111.0 -101.0 -78.0 -65.0 -69.0 -69.0 21.0 10.0 -32.0 -15.0 -6.0 -12.0 -18.0 -21.0 -17.0 -21.0 -22.0 -17.0 -14.0 -14.0 -19.0 -22.0 -27.0 -23.0 -26.0 -23.0 -22.0 -24.0 -25.0 -30.0 -31.0 -32.0 -32.0 -25.0 -26.0 -23.0 
